KEY,en,notes,sp,fr,de,it,pt-br,zh
TEAMNAME_FORMAT,那个{Adjective}的{Nouns},"one adjective and one noun are chosen at random. If this is impossible to make work in a language, then just change the format to say ""The Cats"", or make the adjectives empty and randomize some teamnames in the Noun slots",Los {Nouns} {Adjective},Les {Nouns} {Adjective},Die {Adjective} {Nouns},{Nouns} {Adjective},Os {Nouns} {Adjective},那个{Adjective}的{Nouns}
TEAMNAME_FORMAT2,{Adjective}的{Nouns},"if the adjective is prepended with ""format2|"" then the team name will use this format instead of the default one",{Nouns} {Adjective},{Nouns} {Adjective},Die {Adjective}-{Nouns},{Adjective} {Nouns},{Nouns} {Adjective},{Adjective}的{Nouns}
,,"if more than 2 formats are needed for a language, I can add more (just let me know).",,,,,,
,,"nouns may be prepended with the text ""singular|"" (ex if the noun is Team or Sqaud instead of Cats). This changes the grammar in the embark/return/fail cutscenes (ex: ""{Teamname} Returns Home"" vs {Teamname} Return Home"")",,,,,,
TEAMNAME_ADJECTIVE_FIGHTER0,强壮的,"these do not need to be strictly literal translations, you can be creative with them",Fuertes,forts|fortes,Starken,Forti,Fortes,强壮的
TEAMNAME_ADJECTIVE_FIGHTER1,愚蠢的,,Tontos,idiots|idiotes,Blöden,Tontoloni|Tontolone,Burros,愚蠢的
TEAMNAME_ADJECTIVE_FIGHTER2,强大的,,Poderosos,puissants|puissantes,Garstigen,Potenti,Poderosos,强大的
TEAMNAME_ADJECTIVE_FIGHTER3,威猛的,,Imponentes,vaillants|vaillantes,Mächtigen,Possenti,Potentes,威猛的
TEAMNAME_ADJECTIVE_FIGHTER4,精英的,,de Élite,d'élite,format2|Elite,D'élite,de Elite,精英的
TEAMNAME_ADJECTIVE_FIGHTER5,壮硕的,,Cachas,musclés|musclées,Pumpenden,Pompati|Pompate,Inchados,壮硕的
TEAMNAME_ADJECTIVE_FIGHTER6,首领的,,Alfa,mâles alpha|femelles alpha,format2|Alpha,Alfa,Alfas,首领的
TEAMNAME_ADJECTIVE_FIGHTER7,有力一击的,,Contundentes,percutants|percutantes,Schlagfertigen,Bizzosi|Bizzose,Impactantes,有力一击的
TEAMNAME_ADJECTIVE_FIGHTER8,遍体鳞伤的,,Magullados,amochés|amochées,Verprellten,Lividi|Livide,Contundidos,遍体鳞伤的
TEAMNAME_ADJECTIVE_FIGHTER9,战斗的,,Peleones,bagarreurs|bagarreuses,Kriegerischen,Rissosi|Rissose,Lutadores,战斗的
TEAMNAME_ADJECTIVE_FIGHTER10,坚韧的,,Duros,balèzes,Zähen,Duri|Dure,Resistentes,坚韧的
TEAMNAME_ADJECTIVE_FIGHTER11,自负的,,Fanfarrones,prétentieux|prétentieuses,Frechen,Spavaldi|Spavalde,Arrogantes,自负的
TEAMNAME_ADJECTIVE_FIGHTER12,迟钝的,,Atontados,bêtes,Zurückgebliebenen,Ottusi|Ottuse,Escuros,迟钝的
TEAMNAME_ADJECTIVE_FIGHTER13,沉思的,,Amenazadores,menaçants|menaçantes,Grüblerischen,Cupi,Melancólicos,沉思的
TEAMNAME_ADJECTIVE_HUNTER0,有耐心的,,Pacientes,patients|patientes,Geduldigen,Pazienti,Pacientes,有耐心的
TEAMNAME_ADJECTIVE_HUNTER1,精准的,,Precisos,précis|précises,Peniblen,Precisi|Precise,Precisos,精准的
TEAMNAME_ADJECTIVE_HUNTER2,专注的,,Concentrados,concentrés|concentrées,Konzentrierten,Concentrati|Concentrate,Concentrados,专注的
TEAMNAME_ADJECTIVE_HUNTER3,神射手的,,Certeros,flingueurs|flingueuses,Adleräugigen,Attenti|Attente,Atiradores de Elite,神射手的
TEAMNAME_ADJECTIVE_HUNTER4,邋遢,,Sarnosos,galeux|galeuses,Räudigen,Rognosi|Rognose,Improvisados,邋遢
TEAMNAME_ADJECTIVE_HUNTER5,被寄生,,Infestados,infestés|infestées,Infizierten,Infestati|Infestate,Infestados,被寄生
TEAMNAME_ADJECTIVE_HUNTER6,远程,,a Distancia,organisés|organisées,Fernkämpfenden,Tiratori|Tiratrici,Distantes,远程
TEAMNAME_ADJECTIVE_HUNTER7,捕猎,,Capturadores,piégeurs|piégeuses,Fallenstellenden,Insidiosi|Insidiose,Astutos,捕猎
TEAMNAME_ADJECTIVE_HUNTER8,敏锐,,Agudos,enthousiastes,Eifrigen,Acuti|Acute,Afiados,敏锐
TEAMNAME_ADJECTIVE_HUNTER9,野性的,,Salvajes,déchaînés|déchaînées,Wilden,Scatenati|Scatenate,Primitivos,野性的
